GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Code Coverage,default,AllTests,3,0,0,0,1,0,1,0,1,0
JaCoCo Code Coverage,default,HelloWorldTest,0,14,0,0,0,4,0,2,0,2
JaCoCo Code Coverage,default,HelloWorld,0,9,0,0,0,4,0,2,0,2
JaCoCo Code Coverage,helpers,ClasspathSuite,174,0,24,0,32,0,20,0,8,0
